# sucrose  rho     mu     rpm     torque 
# [%]      [kg/m3] [Pa s] [1/min] [N m]  
 0  998 0.00100 100 0.00071
 0  998 0.00100 150 0.00164
 0  998 0.00100 200 0.00300
 0  998 0.00100 250 0.00475
 0  998 0.00100 300 0.00688
 0  998 0.00100 350 0.00943
 0  998 0.00100 400 0.01247
 0  998 0.00100 450 0.01579
 0  998 0.00100 500 0.01963
 0  998 0.00100 550 0.02362
 0  998 0.00100 600 0.02811
 0  998 0.00100 650 0.03315
 0  998 0.00100 700 0.03857
 0  998 0.00100 750 0.04432
 0  998 0.00100 800 0.05043
 0  998 0.00100 850 0.05689
 0  998 0.00100 900 0.06395
20 1081 0.00196 100 0.00071
20 1081 0.00196 150 0.00172
20 1081 0.00196 200 0.00308
20 1081 0.00196 250 0.00489
20 1081 0.00196 300 0.00718
20 1081 0.00196 350 0.00991
20 1081 0.00196 400 0.01311
20 1081 0.00196 450 0.01666
20 1081 0.00196 500 0.02072
40 1176 0.00617 100 0.00070
40 1176 0.00617 150 0.00157
40 1176 0.00617 200 0.00283
40 1176 0.00617 250 0.00467
40 1176 0.00617 300 0.00691
40 1176 0.00617 350 0.00967
40 1176 0.00617 400 0.01304
40 1176 0.00617 450 0.01694
40 1176 0.00617 500 0.02090
50 1230 0.01540 100 0.00073
50 1230 0.01540 150 0.00166
50 1230 0.01540 200 0.00295
50 1230 0.01540 250 0.00458
50 1230 0.01540 300 0.00660
50 1230 0.01540 350 0.00897
50 1230 0.01540 400 0.01172
50 1230 0.01540 450 0.01486
50 1230 0.01540 500 0.01881
55 1258 0.02810 100 0.00090
55 1258 0.02810 150 0.00169
55 1258 0.02810 200 0.00297
55 1258 0.02810 250 0.00469
55 1258 0.02810 300 0.00683
55 1258 0.02810 350 0.00932
55 1258 0.02810 400 0.01213
55 1258 0.02810 450 0.01521
55 1258 0.02810 500 0.01877
60 1286 0.05850 100 0.00174
60 1286 0.05850 150 0.00255
60 1286 0.05850 200 0.00371
60 1286 0.05850 250 0.00511
60 1286 0.05850 300 0.00698
60 1286 0.05850 350 0.00935
60 1286 0.05850 400 0.01210
60 1286 0.05850 450 0.01544
60 1286 0.05850 500 0.01920
